Id,Id2,Geography,estimateTotal,marginOfError,totalLessThan9thGrade,moeLessThan9thGrade,totalnoHSdiploma,moeNoHSdiploma,totalHSdiploma,moeHSdiploma,totalSomeCollege,moeSomeCollege,totalAssociatesDegree,moeAssociateDegree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Graduate or professional degree,Margin of Error; Total: - Graduate or professional degree
0400000US01,1,Alabama,3256766,4841,164748,6632,333011,9857,1028665,14574,709158,12051,256777,9532,478058,11918,286349,9003
0400000US02,2,Alaska,465149,2124,12625,1421,20628,1977,131987,4272,131559,5070,38086,2849,85634,3613,44630,3466
0400000US04,4,Arizona,4436226,2926,286007,9360,332779,10899,1079812,18279,1138687,16667,376649,9975,765784,13185,456508,8928
0400000US05,5,Arkansas,1968414,4284,110814,5719,177923,6837,686786,11214,448062,9143,123871,6506,272411,8594,148547,6189
0400000US06,6,California,25654292,5461,2555427,21899,2038098,21809,5360853,34131,5560560,36070,2002684,22060,5120162,33972,3016508,25337
0400000US08,8,Colorado,3584463,3721,148162,6110,190720,7505,783816,15298,792924,11924,294629,8870,862158,12422,512054,8644
0400000US09,9,Connecticut,2471818,1977,102610,5660,142557,6297,680274,12735,421674,9917,184589,6024,527472,10861,412642,9645
0400000US10,10,Delaware,640343,870,21628,2561,49039,3882,199747,5887,123261,4855,50787,3877,116931,5148,78950,4241
0400000US11,11,District of Columbia,463211,347,19069,2544,26385,2746,84213,4483,62936,3876,15936,2092,112706,3634,141966,4374
0400000US12,12,Florida,14041196,6948,735213,16501,1060480,17229,4151300,31641,2905454,28002,1358245,20607,2448663,26006,1381841,19817
0400000US13,13,Georgia,6576408,7928,352984,11545,590904,13463,1869967,23164,1389410,18312,462543,10577,1199733,17773,710867,15270
0400000US15,15,Hawaii,974586,1323,39436,2987,41453,3699,277667,7896,211542,6093,102149,5128,200315,6801,102024,4522
0400000US16,16,Idaho,1045193,2587,40558,3639,62620,4528,294862,9480,288457,9448,97174,4710,175108,7366,86414,4754
0400000US17,17,Illinois,8639076,4208,451301,10428,570565,11415,2305681,24172,1807750,22213,670372,10692,1737022,19299,1096385,15109
