GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Agriculture, forestry, fishing and hunting, and mining","Margin of Error; Total: - Agriculture, forestry, fishing and hunting, and mining",Estimate; Total: - Construction,Margin of Error; Total: - Construction,Estimate; Total: - Manufacturing,Margin of Error; Total: - Manufacturing,Estimate; Total: - Wholesale trade,Margin of Error; Total: - Wholesale trade,Estimate; Total: - Retail trade,Margin of Error; Total: - Retail trade,"Estimate; Total: - Transportation and warehousing, and utilities","Margin of Error; Total: - Transportation and warehousing, and utilities",Estimate; Total: - Information,Margin of Error; Total: - Information,"Estimate; Total: - Finance and insurance, and real estate and rental and leasing","Margin of Error; Total: - Finance and insurance, and real estate and rental and leasing","Estimate; Total: - Professional, scientific, and management, and administrative and waste management services","Margin of Error; Total: - Professional, scientific, and management, and administrative and waste management services","Estimate; Total: - Educational services, and  health care and social assistance","Margin of Error; Total: - Educational services, and  health care and social assistance","Estimate; Total: - Arts, entertainment, and recreation, and accommodation and food services","Margin of Error; Total: - Arts, entertainment, and recreation, and accommodation and food services","Estimate; Total: - Other services, except public administration","Margin of Error; Total: - Other services, except public administration",Estimate; Total: - Public administration,Margin of Error; Total: - Public administration
0400000US01,01,Alabama,2030482,13376,32857,3077,129365,6145,284975,8427,52985,3363,250568,9275,97390,5016,33560,3381,116374,6064,187110,6644,448085,10156,170341,5194,107220,4395,119652,6500
0400000US02,02,Alaska,352531,5376,19628,1980,28394,2851,11402,1739,6188,1233,35716,3257,29495,2700,8279,1685,13521,1577,29287,2951,79257,3378,32309,3169,16170,2265,42885,3039
0400000US04,04,Arizona,2866629,19029,48461,4316,194865,7782,197581,7267,69288,3951,347486,9895,146114,6102,47137,3222,234020,8432,342653,9662,629834,12237,320647,10712,139494,6538,149049,5605
0400000US05,05,Arkansas,1269092,12369,42147,3205,80276,5314,163894,6634,27858,2423,170478,6444,63722,4370,23981,3003,62678,4248,98236,5461,299770,9069,107884,7418,64663,4849,63505,4733
0400000US06,06,California,17638152,36488,420979,12716,1064294,20259,1718093,23255,542536,12117,1927958,25792,830311,16582,528556,12037,1083944,19198,2271628,22215,3681807,31113,1860773,27656,953146,16441,754127,14581
0400000US08,08,Colorado,2699282,13014,73712,4373,213073,7923,178560,7049,69609,3771,291961,10337,121660,4793,85739,4394,184674,8205,361496,9280,551550,11803,299196,9746,142651,6413,125401,5829
0400000US09,09,Connecticut,1798758,11166,7646,1646,103417,5648,189973,7609,48314,4108,191654,7721,64236,4115,43167,3027,171306,5911,201530,6754,471363,7988,159884,7345,77664,4323,68604,3956
0400000US10,10,Delaware,441144,5793,3745,980,25477,2671,40531,3182,8172,1504,57173,3887,21831,1998,5936,1223,43294,3408,43706,3156,105913,5064,41163,3345,17727,2152,26476,2594
0400000US11,11,District of Columbia,345592,5578,210,177,9624,1995,3775,1014,1607,532,17048,2043,10365,1655,13566,1543,23225,2607,80921,4542,66325,3825,35971,3034,29973,2639,52982,3018
0400000US12,12,Florida,8738970,32696,92565,5889,596857,14633,441119,13567,250739,6916,1165596,18724,438288,12295,179421,9195,648090,15077,1151372,17334,1843388,23099,1070929,21144,480439,11975,380167,10330
0400000US13,13,Georgia,4466307,22294,49894,3652,288518,10906,460950,11990,125078,6603,540345,14016,280569,9506,110432,5418,279473,8646,510316,13547,940403,16783,432943,11793,218427,7996,228959,9150
0400000US15,15,Hawaii,664180,7810,11796,2250,44168,3453,20703,2003,15196,2223,78535,4107,39443,2876,9729,1354,42787,3767,69255,4374,135646,5155,109955,4702,26932,2749,60035,3177
0400000US16,16,Idaho,726768,8459,41164,3624,51010,4472,69692,4756,16857,2118,88074,5370,36576,3168,15837,2195,37642,3660,78772,4556,159845,5628,65419,4115,31340,3118,34540,3592
0400000US17,17,Illinois,6143429,21683,66096,3726,319907,10040,754780,13417,185690,6812,684307,14940,358829,8765,130611,5320,445532,10629,713650,12774,1394811,18701,574033,11461,295357,9626,219826,7715
0400000US18,18,Indiana,3087270,14316,41448,3061,172614,7259,578141,10474,80940,4832,358506,9356,151277,6189,50143,3666,160876,6797,251690,7838,714290,9599,279124,8579,142655,5586,105566,4954
0400000US19,19,Iowa,1593590,9293,63679,3282,101411,4572,241943,6832,46142,3090,184542,6150,72541,3779,28177,2563,117976,4526,120804,4351,387180,7402,110940,5246,68356,3817,49899,3152
